time,latitude,longitude,depth,mag,net
2014-04-04T12:51:24.000Z,60.0777,-151.9814,100,1.7,ak
2014-04-04T12:11:41.250Z,32.4016667,-115.4396667,15.06,2.07,ci
2014-04-04T12:11:16.510Z,32.3978333,-115.4286667,19.78,2.16,ci
2014-04-04T11:57:44.000Z,60.1476,-152.3661,53.6,1.9,ak
2014-04-04T11:57:04.000Z,51.2541,-177.9181,23.5,2.9,ak
2014-04-04T11:49:26.000Z,64.3541,-149.6262,0,1.4,ak
2014-04-04T11:49:10.400Z,35.6388,-120.9358,5.2,2.2,nc
2014-04-04T11:48:40.900Z,38.8267,-122.7992,2.2,0.6,nc
2014-04-04T11:40:32.870Z,-10.5303,161.6719,63.77,6,us
2014-04-04T11:37:02.670Z,33.3136667,-116.331,13.49,0.89,ci
2014-04-04T11:35:59.500Z,38.8075,-122.794,1.3,1,nc
2014-04-04T11:34:41.000Z,63.4473,-151.3595,7,0.5,ak
2014-04-04T11:34:31.000Z,62.2088,-148.8123,47.1,0.8,ak
2014-04-04T11:27:33.600Z,36.802,-97.746,5,2.7,us
2014-04-04T11:14:10.250Z,33.504,-116.4693333,10.13,0.31,ci
2014-04-04T11:10:25.600Z,45.9187,-122.441,19.7,0.6,uw
2014-04-04T11:06:37.000Z,62.8988,-151.305,8.4,1,ak
2014-04-04T11:04:25.000Z,60.2387,-151.7914,34.9,1.7,ak
2014-04-04T10:49:44.000Z,62.9395,-151.1836,100,1.3,ak
2014-04-04T10:46:13.300Z,37.4802,-118.8388,6.1,0.4,nc
2014-04-04T10:21:14.700Z,18.3455,-67.431,11,2.6,pr
2014-04-04T10:11:07.000Z,60.9585,-151.2861,50.2,1.7,ak
2014-04-04T10:06:11.000Z,51.3047,-177.7614,25.6,1.9,ak
2014-04-04T10:00:30.400Z,38.8288,-122.852,2.4,0.3,nc
2014-04-04T09:57:31.000Z,62.8313,-150.2139,98.5,1.1,ak
2014-04-04T09:54:18.600Z,47.4307,-122.7552,24.1,1,uw
2014-04-04T09:53:58.000Z,63.5077,-147.6205,16.7,1,ak
2014-04-04T09:53:26.040Z,-20.6108,-70.6816,17.61,5.2,us
2014-04-04T09:52:08.100Z,-31.5104,-70.3568,94.47,5.4,us
2014-04-04T09:47:35.559Z,37.36,-117.1092,15.552,1.25,nn
2014-04-04T09:38:55.730Z,-20.0381,-70.9968,13.13,5.1,us
2014-04-04T09:38:19.500Z,37.3455,-113.7997,-0.7,3.5,uu
2014-04-04T09:27:02.710Z,36.0126667,-117.5378333,4.7,0.75,ci
2014-04-04T09:24:13.240Z,36.0133333,-117.5398333,5.27,0.77,ci
2014-04-04T09:22:25.550Z,32.8396667,-115.4675,11.76,1.65,ci
2014-04-04T09:18:46.000Z,62.1467,-149.5701,20.4,1,ak
2014-04-04T09:18:42.800Z,38.8222,-122.7652,2.5,1.6,nc
2014-04-04T09:17:16.780Z,35.8221667,-117.8358333,1.98,1.63,ci
2014-04-04T09:12:18.460Z,33.6721667,-116.736,16.3,0.4,ci
2014-04-04T08:54:11.000Z,64.7566,-149.1038,38.4,0.9,ak
2014-04-04T08:53:56.010Z,-36.5175,-96.748,10,4.7,us
2014-04-04T08:51:03.000Z,63.0519,-151.5012,4.9,1.4,ak
2014-04-04T08:44:04.700Z,39.2327,-120.094,5.7,2,nc
2014-04-04T08:33:42.600Z,19.4172,-155.6238,1.6,1.2,hv
2014-04-04T08:27:30.950Z,36.5266,70.1839,199.99,4,us
2014-04-04T08:21:14.000Z,63.0021,-149.3817,90.9,1.3,ak
2014-04-04T08:15:58.000Z,61.138,-147.0894,0.2,1.4,ak
2014-04-04T07:59:38.580Z,38.8209991,-122.8241653,1.1,0.43,nc
2014-04-04T07:57:32.860Z,-19.9177,-71.1467,15.53,4.1,us
2014-04-04T07:56:08.760Z,53.34,-164.2676,19.66,3.7,us
2014-04-04T07:44:54.401Z,39.2377,-120.084,7.1594,0.41,nn
2014-04-04T07:42:20.740Z,-19.7935,-70.8327,19.15,4.1,us
2014-04-04T07:41:34.200Z,40.2422,-121.2023,20.1,1.3,nc
2014-04-04T07:35:18.300Z,33.5073333,-116.4695,10.49,0.53,ci
2014-04-04T07:28:41.000Z,61.4493,-148.0962,22.8,1.4,ak
2014-04-04T07:18:56.800Z,38.8168,-122.7957,4,0.4,nc
2014-04-04T07:14:13.970Z,34.0655,-116.1771667,11.01,1.48,ci
2014-04-04T07:14:07.090Z,34.0606667,-116.1823333,8.89,1.39,ci
2014-04-04T07:10:28.810Z,-20.5678,-70.8622,17.92,4.6,us
2014-04-04T06:58:20.760Z,33.9565,-117.9013333,6.91,1.54,ci
2014-04-04T06:57:44.350Z,23.0735,93.1818,47.72,4.1,us
2014-04-04T06:54:09.860Z,36.0593333,-117.891,3.3,-0.09,ci
2014-04-04T06:51:03.000Z,62.0805,-149.2845,17.9,1.5,ak
2014-04-04T06:42:34.590Z,35.895,-97.268,4.2,3,us
2014-04-04T06:35:16.000Z,60.5346,-152.732,6.8,0.5,ak
2014-04-04T06:23:22.600Z,37.482,-118.8385,5.4,0.5,nc
2014-04-04T06:22:35.000Z,63.3864,-150.0208,111.3,1,ak
2014-04-04T06:22:24.090Z,33.3785,-116.4123333,13.65,1.06,ci
2014-04-04T06:13:56.000Z,62.5439,-149.3095,44.5,1,ak
2014-04-04T06:06:31.520Z,-20.5906,-70.8956,22.16,4.5,us
2014-04-04T05:59:00.510Z,33.0625,-116.4571667,15.99,1.03,ci
