LatDegree,LongDegree,OtherName
19.82889,-155.99194,Beach Pool
19.82806,-155.99278,Main Pool
19.82722,-155.99333,Palm Grove
19.8275,-155.99056,Fitness Center
19.82528,-155.99639,Ryan Salt
19.82083,-155.99583,Kukio Obs C
19.81917,-155.99611,Kukio Obs E
19.8175,-155.99667,Kukio Obs F
19.82056,-155.99611,Kukio Obs C
19.81917,-155.99583,Kukio Obs E
19.81778,-155.99694,Kukio Obs F
19.81639,-155.99694,Kukio Obs D
19.81444,-155.99194,Kukio Lagoon 2
19.82056,-155.99472,Raptor Residence
19.81472,-155.99444,Greene Family Trust
19.81694,-155.99472,Ungerman
19.81722,-155.9875,Jahnke
19.81778,-155.9975,Kukio Obs D
19.81917,-155.99778,Kukio Obs B
19.81861,-155.99889,Kukio Obs A
19.83972,-155.09306,Mauka Dom
19.84194,-155.09111,Makai Dom
19.84361,-155.08528,Cooling 1
19.84417,-155.085,Cooling 2
19.84444,-155.08472,Cooling 3
19.85083,-155.09278,Makea
19.835,-155.09806,Kulaimano
19.84389,-155.97694,Michelson
19.84444,-155.97528,Pilara
19.83667,-155.9825,YY Investment LLC
19.83861,-155.97972,Panattoni
19.84,-155.97944,Well 1
19.83472,-155.985,Marr Residence
19.86417,-155.09694,Anderson-Beck
19.87917,-155.11083,Buyers
19.87,-155.10611,Kiko 1
19.86389,-155.12083,Honomu
19.87056,-155.65972,Waikii 1
19.87083,-155.65972,Waikii 2
19.88889,-155.12528,Hakalau School
19.88444,-155.12028,Wailea-Hamakua C
19.88806,-155.12139,Wailea-Mccully
19.88222,-155.78556,Puu Anahulu
19.88861,-155.87583,West Haw Landfill
19.90333,-155.12944,Kay-Mount
19.90528,-155.13361,Bigpuss II
19.90639,-155.135,Ehrenlechner
19.9125,-155.88,Nursery
19.91028,-155.87528,Fifty-One Ft STP
19.91278,-155.87139,Resort 1
19.91861,-155.76278,Waikoloa DW-6
19.93194,-155.76639,DW-8
19.92722,-155.76917,Waikoloa 2
19.92917,-155.76694,Waikoloa 3
19.93028,-155.79222,WVA 1
19.92639,-155.79778,Parker 1
19.91583,-155.86194,Waikoloa Irr 3
19.915,-155.86667,Resort Irr 2
19.93278,-155.88194,Yellow Tang
19.93556,-155.87333,BSB
19.91611,-155.88278,Parker 6
19.91611,-155.88111,Waikoloa Saltwtr
19.92806,-155.88528,Waikoloa SW
19.945,-155.17722,Reid
19.94639,-155.19333,Honomainoa
19.93583,-155.80667,Parker 2 TH
19.93417,-155.81,Aina Lea 1
19.93556,-155.84333,Entrance
19.93917,-155.84,Culvert
19.9325,-155.84861,Highway
19.93889,-155.85944,Mauna Lani SW 1
19.94,-155.86278,Mauna Lani SW 2
19.9325,-155.87889,Borkan
19.96028,-155.26444,Kapili Str Tun
19.95389,-155.76194,Parker 5
19.95278,-155.76167,Parker 4
19.95556,-155.76222,Waikoloa 1
19.95444,-155.76222,Waikoloa 7
19.96528,-155.77083,Parker 4
19.96083,-155.82556,North
19.95694,-155.83333,Puako 4
19.95472,-155.83389,Puako 6
19.95,-155.83389,Fire Station
19.94722,-155.84,STP
19.95,-155.85972,Cogen Salt 1
19.95,-155.85972,Cogen Salt 2
19.97889,-155.23722,Laupahoehoe 1
19.97861,-155.2375,Laupahoehoe 2
19.97028,-155.27944,Kaawalii Tunnel
19.97083,-155.28,Kaawalii Gu Tun1
19.97167,-155.27944,Kaawalii Gu Tun2
19.97444,-155.77111,Waikoloa MLR 1
19.97806,-155.77139,Waikoloa MLR 2
19.97778,-155.77056,Parker 3
19.96806,-155.82722,Puako 3
19.97028,-155.8225,Mauna Lani 8
19.96917,-155.82167,Mauna Lani 9
19.97167,-155.83694,Fabyonic # 1
19.98694,-155.28778,Humuula Tunnel
19.98833,-155.77194,Lalamilo A
19.98389,-155.77417,Lalamilo B
19.98944,-155.77611,Lalamilo C
19.99444,-155.77694,Lalamilo D
19.99333,-155.81333,Hapuna Beach Park
19.99472,-155.825,Camp Drewes
20.00972,-155.27583,Island Dairy
19.9975,-155.29083,Kaula Gulch Tun1
19.99806,-155.29139,Kaula Gulch Tun2
19.99889,-155.29139,Kaula Gulch Tun3
20.01028,-155.28694,Kaula Gulch Tun4
20.01028,-155.28444,Ookala
20.01361,-155.76472,Ouli 1
20.00889,-155.79222,Ouli C
20.00389,-155.79333,Ouli D
20.00944,-155.79278,Hapuna 3
20.01167,-155.7925,Hapuna 4
20.00806,-155.80861,Kawaihae 2
19.99972,-155.8125,M Kea Beach Hotel 1
20.00806,-155.81222,Ouli B
20.00111,-155.81944,M Kea Beach Hotel 2
20.00639,-155.825,M Kea Bch Htl 3
20.00778,-155.825,M Kea Bch Htl 4
20.01083,-155.82333,M Kea Bch
19.99778,-155.81444,Ouli A
20.01167,-155.82306,Arlin Trust
19.99944,-155.82611,Hoffee
20.01556,-155.82278,Mauumae
20.01722,-155.28167,D & D
20.01583,-155.285,Ookala Shaft
20.02389,-155.33028,Puumaile Str Tun
20.01806,-155.33306,Puumaile Str Tun
20.0175,-155.33306,Puumaile Str Tun
20.02139,-155.33083,Puumaile Str Tun
20.01917,-155.36278,Kawaiili Stream Tun
20.02139,-155.35111,Kainehe Str Tun
20.0275,-155.37306,Kanui Gulch Tun
20.02139,-155.37583,Paauilo Gu Tun
20.02083,-155.37639,Paauilo Gu Tun
20.02556,-155.69528,Waiaka Tank
20.0225,-155.78361,Kawaihae 3
20.01972,-155.79972,Kawaihae 1
20.01944,-155.79944,Kawaihae 4
20.02361,-155.81278,M Kea Bch
20.04028,-155.33528,Kukaiau
20.04639,-155.37861,Manienie Gu Tun
20.03167,-155.37167,Paauilo Str Tun
20.03944,-155.36556,Paauilo Str Tun
20.03833,-155.38389,Paauilo
20.04333,-155.59694,Waimea C C
20.03056,-155.63944,Waimea
20.03056,-155.66139,Parker Ranch 1
20.03139,-155.66639,Waimea Obs.
20.03111,-155.66528,Waimea Exploratory
20.0375,-155.82694,Akau 1
20.04306,-155.83222,Kawaihae TH
20.04139,-155.83083,Kawaihae
20.03917,-155.82917,Big Island Carbon
20.05083,-155.35917,Paauilo Mill
20.04917,-155.36306,Paauilo Shaft
20.06167,-155.37778,Paauilo
20.0575,-155.39056,Slaughter House
20.05278,-155.51528,Ahualoa Plant
20.05056,-155.51944,Ahualoa
20.05389,-155.62528,Puukapu
20.05389,-155.625,Puukapu Shallow
